JobTitle,RequiredSkills
Python Developer,"python, sql, pandas, git"
Web Developer,"html, css, javascript, react"
Data Analyst,"python, excel, sql, pandas"
Java Developer,"java, spring, sql, git"
Machine Learning Engineer,"python, tensorflow, pandas, numpy"
Data Scientist,"python, pandas, numpy, machine learning"
DevOps Engineer,"docker, kubernetes, aws, linux"
Frontend Developer,"html, css, javascript, react"
Backend Developer,"python, java, sql, api"
Full Stack Developer,"html, css, javascript, react, python, sql"
Cloud Engineer,"aws, docker, linux, networking"
Database Administrator,"sql, mysql, postgresql, database"
Software Tester,"manual testing, automation, selenium"
Business Analyst,"excel, sql, data analysis, documentation"
